OBJECT_ID	SA2022	Factor
B17091	A027001001	1.0073
B17089	A027001004	0.9801
B17087	A027001002	0.9598
B06344	A027002005	1.0432
B07199	A027002003	0.9931
B06366	A027002002	0.9902
B06367	A027002001	0.9807
B06368	A027002004	0.9811
B15596	A027003001	0.983
B15595	A027003002	0.9605
B14898	A027004013	1.575
B14897	A027004012	1.3374
B14900	A027004014	1.2801
B14348	A027004017	1.2772
B14354	A027004016	1.1562
B14352	A027004010	1.1067
B14899	A027004015	1.0995
B14351	A027004018	1.0922
B14350	A027004008	1.0919
B14353	A027004006	1.0893
B14991	A027004007	1.0789
B14349	A027004011	1.0765
B14347	A027004005	0.9714
B14484	A027004002	0.9685
B14483	A027004003	0.9519
B14482	A027004004	1.0322
B14485	A027004001	1.014
B14901	A027004009	1.0596
B18150	A027005002	0.9963
B16146	A027005001	0.9552
B14345	A027006004	1.2565
B14847	A027006003	1.0098
B14849	A027006007	0.9922
B14346	A027006005	1.145
B14848	A027006006	0.9848
B14344	A027006008	0.8884
B14481	A027006001	1.0552
B14480	A027006002	0.9924
B14343	A027007004	1.1495
B14342	A027007003	0.9057
B14479	A027007001	0.9914
B14478	A027007002	0.9882
B14858	A027008011	1.1883
B14496	A027008004	1.1281
B14494	A027008005	1.0728
B14495	A027008012	1.0624
B14855	A027008006	1.0553
B14856	A027008009	1.0527
B14857	A027008007/027008011	1.0482
B14497	A027008008/027008003	1.0481
B14853	A027008003	1.0379
B14854	A027008002	1.0377
B14493	A027008001	0.9553
B14492	A027008010	0.9763
B16109	A027009001	1.0081
B18153	A027009002	0.9863
B16234	A027009003	1.0065
B16235	A027009004	0.9802
B16117	A027010001	1.0075
B17092	A027011003	1.0453
B17086	A027011002	0.9791
B17085	A027011001	0.9915
B14361	A027012003	1.1888
B14362	A027012004	0.9704
B14360	A027012005	0.943
B14488	A027012002	0.9815
B14489	A027012006/027012001	0.9695
B14791	A027013006	1.4421
B14358	A027013009	1.3787
B14359	A027013002	1.2302
B14357	A027013008	1.1084
B14792	A027013007	1.3414
B14790	A027013001	1.0945
B14487	A027013004	1.0857
B14356	A027013005	1.1062
B14355	A027013003	1.0458
B16121	A027015001	1.0146
B18108	A027016001	1.0071
B14893	A027017001	0.9713
B14486	A027017002	0.9067
B16159	A027018001	1.0455
B16160	A027018002	0.9784
B16122	A027019001	1.0165
B15889	A027020002	0.9949
B15821	A027020001	0.9751
B16043	A027021001	0.9698
B17126	A027021002	0.9308
B15710	A027022003	1.0105
B15683	A027022002	0.9799
B15814	A027022004	0.9962
B15682	A027022001	0.9666
B16046	A027023001	0.9602
B11510	A027024023	1.1777
B11509	A027024024	1.0654
B11493	A027024017	1.0571
B11724	A027024020	1.0481
B11495	A027024021	1.038
B11492	A027024006	1.0354
B11498	A027024019	1.0345
B11558	A027024001	1.0338
B11505	A027024009	1.0265
B11496	A027024022	1.026
B11503	A027024008	1.026
B11490	A027024016	1.0259
B11502	A027024007	1.0241
B11554	A027024004	0.9225
B11556	A027024014	0.9605
B11489	A027024015	0.9749
B11555	A027024026	0.9357
B11506	A027024013	1.0223
B11507	A027024012	1.0221
B11504	A027024018	1.0192
B11494	A027024010	1.0161
B11497	A027024028	1.0157
B11557	A027024002	1.008
B11500	A027024003	1.0023
B11501	A027024005	0.9994
B11508	A027024027	0.998
B11491	A027024011	0.9969
B11499	A027024025	0.9587
B11517	A027025011	1.6125
B11527	A027025006	1.5439
B11523	A027025003	1.4398
B11515	A027025012	1.4028
B11518	A027025007	1.1843
B11516	A027025013/027025014	1.1774
B11521	A027025010	1.1503
B11514	A027025016	1.1503
B11524	A027025008	1.1485
B11525	A027025001	1.1485
B11519	A027025005	1.1181
B11520	A027025002	1.057
B11513	A027025017	1.0446
B11512	A027025015	1.0445
B11526	A027025009	1.0418
B11522	A027025004	1.0279
B11511	A027025014/027025018	1.1465
B15593	A027026001	0.9259
B15594	A027026002	0.9266
B18602	A027027003/02	1.0579
B15590	A027027002	1.0034
B15588	A027027003/01	1.0344
B15589	A027027004	1.0362
B15587	A027027001	0.9383
B11484	A027028008	1.4913
B11548	A027028004	1.0977
B11482	A027028007/027028008	1.0937
B11448	A027028001	1.09
B11486	A027028005	1.0731
B11481	A027028003	1.0647
B11485	A027028002	1.0849
B11483	A027028006/027028005	1.0517
B16141	A027029001	1.03
B15760	A027030001	1.0336
B15786	A027030002	0.9775
B15819	A027031002	0.9933
B16145	A027031001	0.9417
B15720	A027032003	0.9343
B16149	A027032002	1.0011
B18110	A027032001	0.9791
B16148	A027033001	0.9753
B15722	A027033002	0.9543
B16152	A027034001	0.939
B15719	A027035002	1.0019
B15721	A027035003	0.9958
B16147	A027035001	1.0249
B16236	A027036001	1.0134
B18152	A027036002	0.974
B16124	A027037001	1.1912
B18114	A027039001	1.0134
B18111	A027040001	1.0285
B16066	A027041001	1.0438
B15757	A027042001	0.9807
B15858	A027042002	0.9874
B15822	A027043002	1.0018
B18109	A027043001	1.0097
B15702	A027044002	1.0537
B16044	A027044001	0.9581
B18147	A027045003	1.0175
B18148	A027045002	1.0142
B18258	A027045001	0.9779
B15700	A027046001	1.0041
B15852	A027046002	1.0131
B16123	A027038001/027047001	1.0478
B16114	A027014001	1.1098
B15890	A027048002	0.9916
B18155	A027048001	0.9445
B15945	A027049001	1.036
B16143	A027050001	0.998
B16478	A027050002	0.9755
B15703	A027051001	0.9704
B17127	A027051002	0.9979
B18146	A027052003	1.0044
B15681	A027052001	0.9968
B18144	A027052002	1.0096
B16106	A027052005	1.0303
B18145	A027052004	0.9911
B16108	A027053002	1.0527
B18257	A027053001	1.0026
B16045	A027054001/027054003	0.9746
B17090	A027054002	0.9231
B16103	A027055001	1.0159
B18151	A027056001	1.0089
B18149	A027056002	0.9812
B06345	A027057006	1.3247
B06370	A027057003/027057005	1.1124
B06369	A027057002	1.0221
B06372	A027057001	1.0025
B06371	A027057004	1.0038
B16069	A027058001/027085001	1.0431
B15857	A027059002	1.0096
B15820	A027059001	0.9185
