OBJECT_ID	SA2022	Factor
B05150	A048025004	1.1562
B06525	A048026003	1.4241
B06466	A048026002	1.2013
B06498	A048026001	1.1017
B13250	A047151009	1.345
B13248	A047151001	1.2376
B13249	A047151002	1.1346
B13244	A047151014	1.0081
B13255	A047151013	0.9214
B13254	A047151010	0.9213
B13245	A047151012	0.9137
B13253	A047151011	0.9133
B13330	A047151015	1.0047
B13331	A047151016	0.9178
B15319	A047151003/02	0.7798
B15020	A047151003/01	0.9052
B18778	A047151008	0.9017
B13246	A047151004	0.9004
B13252	A047151005	0.8912
B13251	A047151006	0.8912
B13247	A047151007	0.8729
B13234	A047152003	1.1986
B13237	A047152004	1.1375
B13233	A047152006	1.0753
B13227	A047152010/047152013	1.0085
B13228	A047152005	0.9303
B13232	A047152012	0.9297
B13231	A047152002	0.9167
B13235	A047152011	0.9165
B13230	A047152007	0.9116
B13229	A047152001	0.9052
B13236	A047152009	0.9032
B13226	A047152008	0.9005
B17681	A047153001	0.8002
B17680	A047153002	0.7903
B16259	A047154001	0.8702
B16258	A047154002	0.87
B17515	A047155001	0.8688
B15880	A047156002	0.8388
B15878	A047156001	0.7498
B15879	A047156003	0.7559
B06680	A048028007	0.9898
B06682	A048028002	0.9827
B06681	A048028008	0.9744
B06505	A048028005	0.9577
B06657	A048028003	0.951
B06684	A048028010	0.9264
B06674	A048028009	0.8815
B06665	A048028001	0.8531
B06527	A048028004	0.8163
B06656	A048028006	0.7794
B07064	A048029004	1.4444
B06673	A048029002	0.9567
B06666	A048029003	0.9532
B06671	A048029001	0.8439
B06506	A048029005	0.8262
B06516	A048030005	1.0321
B06514	A048030003	0.965
B06698	A048030001	0.9476
B06663	A048030006	0.8807
B06500	A048030002	0.878
B06662	A048030004/02	0.8278
B06747	A048030004/03	0.7755
B06510	A048030004/01	0.7308
B17627	A047157001/047157002	0.8858
B17762	A047158002	0.8355
B17403	A047158001	0.7963
B07926	A047159005	0.9246
B07925	A047159003	0.9187
B07927	A047159004	0.8187
B07932	A047159001	0.8468
B07931	A047159002	0.8176
B05501	A048031001	0.848
B05502	A048031002	0.8454
B05500	A048031003	0.8352
B06725	A048032001	0.8716
B06515	A048032003	0.851
B06664	A048032002	0.7962
B05248	A048033004	1.5075
B05250	A048033006	1.3929
B05249	A048033005	1.3419
B05257	A048033008	1.0625
B05256	A048033002	1.0063
B05252	A048033007	1.002
B05253	A048033003	0.9769
B05251	A048033009	0.9646
B05255	A048033010	0.9552
B05254	A048033011	0.9539
B05258	A048033001	0.8765
B18533	A047160002	0.8638
B17522	A047160003	0.8404
B16312	A047160001	0.8635
B16311	A047160005	0.8479
B17637	A047160004/047160006	0.8406
B17807	A047161001	0.8731
B17806	A047161002	0.8512
B07928	A047162001	0.8244
B07924	A047162002	0.7874
B18192	A047163003	0.8872
B16249	A047163002	0.8619
B17616	A047163001/047163004	0.8585
B16323	A047164001	0.8367
B17636	A047165001	0.8531
B16309	A047165002	0.8482
B17778	A047166001	0.854
B17728	A047167002	0.8435
B17482	A047167001	0.792
B15295	A047168002	0.8474
B15293	A047168001	0.8036
B15294	A047168003	0.7277
B16391	A047169002	0.8268
B16389	A047169004	0.7979
B16390	A047169001	0.8053
B16388	A047169003	0.7955
B05830	A047170004	1.0787
B05831	A047170003	0.9276
B05883	A047170001	0.8121
B05884	A047170002	0.8438
B05829	A047170005	0.9182
B16425	A047171002	0.8055
B16396	A047171003	0.8013
B16392	A047171001	0.7931
B05434	A048034003	1.0766
B05438	A048034006	1.0326
B05435	A048034001	1.0317
B05439	A048034002	1.011
B05433	A048034007	0.9794
B05440	A048034008	0.9651
B05436	A048034005	0.9347
B05437	A048034004	0.8881
B17738	A047172001	0.8015
B06661	A048035002	1.298
B06660	A048035003	1.2268
B06675	A048035001	1.0673
B06659	A048036002	1.2957
B06683	A048036001	1.1848
B06519	A048036003	1.0647
B07082	A048037004	1.2321
B07081	A048037005	1.0712
B06672	A048037003	1.0705
B06669	A048037002	1.063
B06678	A048037006	1.0223
B07083	A048037007	1.0223
B06679	A048037001	0.9993
B06668	A048027004	1.1903
B06667	A048027003	1.1894
B06676	A048027001	1.1874
B06677	A048027002	1.0695
B05648	A048038002	1.6429
B05651	A048038003	1.4047
B05650	A048038001	1.2384
B05647	A048038005	1.2279
B05649	A048038004	1.1538
B05757	A047173009	0.9032
B05759	A047173005	0.8893
B07320	A047173002/02	0.8089
B05761	A047173007	0.8755
B05760	A047173008	0.87
B05763	A047173006	0.8671
B05758	A047173002/01	0.8072
B05762	A047173001/02	0.7475
B05816	A047173001/01	0.7705
B05815	A047173004	0.7855
B05814	A047173003	0.7962
B17580	A047174001	0.8108
B18049	A047175001	0.8176
B18048	A047175002	0.7856
B07214	A047176003	0.8614
B05907	A047176002	0.848
B05908	A047176001	0.8318
B05968	A047177001	0.7858
B05967	A047177003	0.8329
B05966	A047177004	0.7694
B05914	A047177005	0.7698
B05915	A047177007	0.6847
B05917	A047177008	0.6575
B07219	A047177006	0.6542
B05916	A047177002	0.8266
B05178	A047178002	0.9826
B05164	A047178012	0.9642
B05168	A047178001	0.958
B05174	A047178003	0.9569
B05173	A047178013	0.944
B05179	A047178020	0.9422
B05169	A047178016	0.9371
B05167	A047178009	0.9307
B05171	A047178005	0.9227
B05175	A047178004	0.8789
B05803	A047178019	0.8429
B05177	A047178014	0.8458
B05166	A047178018	0.8444
B05180	A047178021	0.8432
B05163	A047178008	0.8228
B05828	A047178006	0.706
B05165	A047178017	0.8159
B05170	A047178015	0.8026
B05172	A047178011	0.8006
B05176	A047178010	0.7784
B05804	A047178007	0.7662
B07225	A047179005	1.2383
B05750	A047179004	0.9435
B07227	A047179007	0.9275
B05754	A047179006	0.9271
B07226	A047179002	0.9255
B05751	A047179003	0.921
B05811	A047179001	0.8073
B05752	A047179009	0.9095
B05753	A047179008	0.8944
B16434	A047180001	0.8799
B16435	A047180002	0.8362
B17464	A047181001	0.8698
B16313	A047181002	0.8744
B17485	A047182002	0.8101
B16352	A047182003	0.8095
B17486	A047182001	0.8226
B14921	A047183003	0.795
B13334	A047183004	0.7467
B13458	A047183001	0.7908
B14920	A047183002	0.7688
B17541	A047184001	0.8399
B05876	A047185002	0.8411
B05906	A047185001	0.7832
B13075	A047186009	0.912
B13121	A047186002	0.8134
B13122	A047186001	0.8062
B13119	A047186006/01	0.8068
B13120	A047186005	0.7954
B13123	A047186004	0.8966
B13076	A047186007	0.8856
B13079	A047186008	0.883
B13078	A047186003	0.8775
B13077	A047186006/02	0.8277
B07946	A047187004/047187008	0.8431
B07944	A047187006/047187001	0.9221
B07945	A047187007	0.8566
B07943	A047187002/047187003	0.8895
B07942	A047187005	0.8448
B17460	A047188005	0.9096
B16294	A047188003	0.9109
B16293	A047188004	0.8881
B17622	A047188001/047188002	0.8845
B16292	A047188006	0.8491
B18521	A047188007	0.8404
B17628	A047189001	0.8533
B16296	A047189002/047189003/047189004	0.8317
B18054	A047190001	0.8172
B17674	A047191001	0.8689
B17160	A047192001	0.805
B16387	A047193003	0.8176
B17679	A047193001	0.8068
B17487	A047193002	0.807
B15290	A047194001	0.8436
B18051	A047195001	0.8203
B17761	A047195002	0.733
B05835	A047196002/02	0.8603
B05834	A047196002/01	0.8565
B05890	A047196003	0.8182
B05889	A047196001	0.8154
B15300	A047197002/047197004	0.8849
B15301	A047197001/047197003/047197005	0.8372
B17409	A047198001	0.8628
B15322	A047199001	0.8467
B15321	A047199002	0.8224
B10900	A047200008/047200007	0.8996
B10950	A047200005/047200011	0.895
B10899	A047200009/047200010	0.8521
B10898	A047200003	0.8811
B10948	A047200002/047200006	0.8589
B10949	A047200001	0.8964
B10947	A047200004	0.8516
B17391	A047201001	0.8366
B18340	A047201002	0.8259
B17683	A047203001	0.798
B16427	A047203002	0.8139
B07260	A047202003	0.8265
B05748	A047202005	0.821
B05749	A047202001	0.818
B05809	A047202002	0.8152
B05810	A047202004	0.7929
B16304	A047204001	0.8812
B16305	A047204002	0.8715
B14860	A047205004	0.8396
B14739	A047205001/047205003	0.8263
B14736	A047205005	0.8308
B14716	A047205002	0.7979
B13165	A047206001	0.8229
B13275	A047206002	0.8325
B13274	A047206003	0.8188
B16204	A047207001	0.771
B16203	A047208001	0.8322
B17490	A047209001	0.8944
B13332	A047210001	0.7321
B13258	A047210004	0.7878
B13257	A047210003	0.7252
B13256	A047210002	0.7159
B17519	A047211001	0.7908
B17546	A047212002	0.8105
B16191	A047212001	0.788
B17615	A047213002	0.864
B17614	A047213001/047213003/047213004	0.8819
B16350	A047214003	0.8493
B16348	A047214002	0.8014
B16349	A047214001	0.7692
B15274	A047215001	0.81
B15273	A047215002	0.7893
B17407	A047216001	0.8318
B17406	A047216002	0.8277
B18266	A047217004	0.8329
B17531	A047217002	0.8063
B17647	A047217001	0.8204
B17532	A047217003	0.7941
B05801	A047218003	0.8394
B05800	A047218002	0.7812
B05799	A047218005	0.7996
B05802	A047218004	0.7909
B05826	A047218006	0.8187
B05827	A047218001	0.8421
B05825	A047218007	0.8233
B16194	A047220001	0.8887
B16196	A047220002	0.8393
B05895	A047221012	0.7989
B05900	A047221002	0.8416
B05897	A047221003	0.7716
B05899	A047221001	0.7904
B05894	A047221013/02	0.7492
B05901	A047221010	0.8344
B05898	A047221004	0.8147
B05896	A047221005/047221006	0.759
B05853	A047221016	0.834
B05857	A047221014	0.821
B05854	A047221015	0.8164
B05852	A047221019	0.8145
B05850	A047221008	0.813
B05855	A047221011	0.8129
B05858	A047221013/01	0.7893
B05849	A047221017	0.7845
B05851	A047221018	0.7709
B05847	A047221020	0.7708
B05848	A047221009	0.7549
B05856	A047221007	0.7321
B05792	A047222004	0.8517
B05795	A047222003	0.8506
B05797	A047222012	0.8392
B05790	A047222005	0.8347
B05788	A047222010	0.8321
B05793	A047222009	0.821
B05789	A047222002/047222011	0.8179
B05794	A047222007	0.8151
B05791	A047222001	0.8148
B05787	A047222006/01	0.7577
B05796	A047222008	0.7355
B05798	A047222006/02	0.7076
B17553	A047223001/047223002	0.7837
B07940	A047224004	0.794
B07941	A047224003	0.781
B07949	A047224001/047224002	0.7553
B17579	A047225002	1.0685
B17804	A047225001	0.9008
B17676	A047226001	0.7545
B11050	A047227005	0.8752
B11051	A047227003	0.8186
B11049	A047227001	0.8474
B11107	A047227002	0.8534
B11108	A047227004	0.8035
B05832	A047228003	0.8575
B05886	A047228002	0.8885
B05885	A047228001	0.8738
B05632	A048039011	1.7735
B05630	A048039004	1.6405
B05638	A048039009	1.6104
B05629	A048039005	1.5974
B05628	A048039014	1.5581
B05633	A048039010	1.5523
B05636	A048039002	1.4788
B05631	A048039001	1.4779
B05627	A048039008	1.441
B05639	A048039013	1.3959
B05635	A048039003	1.3551
B05634	A048039007	1.0122
B05637	A048039006	0.9352
B05965	A047229004	0.8003
B05964	A047229005	0.7957
B05912	A047229003	0.7822
B05911	A047229001	0.7668
B05913	A047229002	0.7159
B05214	A048040007	0.9909
B05209	A048040001	0.9486
B05213	A048040006	0.9225
B05212	A048040005	0.8445
B05210	A048040002	0.8193
B05208	A048040004	0.8029
B05211	A048040003	0.7555
B05515	A048041003	0.9385
B05511	A048041002	0.921
B05512	A048041005	0.8485
B05514	A048041001	0.8326
B05513	A048041004	0.7623
B16277	A047230001	0.7978
B16281	A047230002	0.7908
B16192	A047231001	0.8196
B09654	A047232003	0.8581
B09653	A047232002/047232001	0.8432
B08609	A047233001/047009001	0.9881
B07934	A047233002	0.8637
B18552	A047234001	0.7986
B15299	A047234002	0.7947
B10471	A047236001/01	0.8143
B10472	A047236002	0.7681
B10587	A047236001/02	0.7697
B17763	A047237001	0.715
B09793	A047238001	1.0592
B09792	A047238002	0.8049
B11009	A047239007	0.9553
B11011	A047239011/02	0.7518
B10999	A047239011/01	0.6174
B11003	A047239004	0.8308
B11008	A047239006	0.8264
B11010	A047239005	0.8233
B11005	A047239010	0.817
B11001	A047239008	0.7967
B11006	A047239009	0.786
B11007	A047239012	0.7828
B11000	A047239003	0.7819
B11023	A047239002	0.736
B11024	A047239001/047239014	0.7311
B10998	A047239015/02	0.7565
B11002	A047239015/01	0.7564
B11004	A047239013	0.7558
B18050	A047240002	0.8007
B18052	A047240001	0.7937
B15984	A047240003	0.7932
B16295	A047241001	0.8447
B16251	A047241002/047241003/047241004	0.9076
B15333	A047242001/047243013	0.8385
B15332	A047242003	0.7856
B15331	A047242002	0.8176
B09634	A047243002/047243004	0.9822
B09641	A047243001	0.9225
B09633	A047243012	0.919
B09635	A047243016	0.9185
B10555	A047243010	0.9169
B09638	A047243005	0.9083
B10554	A047243007/01	0.897
B09636	A047243003	0.8911
B09655	A047243007/03/047243011	0.7961
B10553	A047243008	0.8873
B10594	A047243007/02	0.887
B09637	A047243018	0.8778
B09632	A047243006	0.8755
B09639	A047243009	0.8714
B10552	A047243014	0.8666
B09631	A047243015	0.8629
B09640	A047243017	0.7694
B10945	A047244005/01	0.822
B10946	A047244003/01	0.8068
B10968	A047244004	0.8126
B10969	A047244005/02/047244001	0.8035
B10970	A047244003/02/047244002	0.7702
B05201	A048042011	1.4268
B05572	A048042012	1.3767
B05196	A048042016	1.2665
B05203	A048042015	1.0683
B05190	A048042009/02	1.0584
B05197	A048042013	1.0541
B05191	A048042008	1.0366
B05195	A048042007	1.0094
B05199	A048042001	1.0076
B05194	A048042002	0.985
B05193	A048042010	0.9791
B05187	A048042018	0.9344
B05573	A048042017	0.8963
B05188	A048042006	0.8959
B05200	A048042009/01	0.8682
B05192	A048042003	0.8617
B05189	A048042004	0.8471
B05202	A048042014	0.7971
B05198	A048042005	0.7963
B05113	A048043013	1.3914
B05570	A048043011	1.2769
B05110	A048043012	1.2235
B05105	A048043016	1.2204
B05114	A048043009	1.2135
B05102	A048043017	1.1849
B05115	A048043006	1.0861
B05108	A048043010	1.0545
B05112	A048043005	1.0239
B05109	A048043003	0.9932
B05106	A048043014	0.9849
B05117	A048043004/02	0.9512
B05111	A048043008	0.9168
B05103	A048043001	0.8966
B05116	A048043015	0.889
B05101	A048043004/01	0.8714
B05104	A048043018	0.8448
B05571	A048043002	0.8001
B05107	A048043007	0.7661
B05369	A048044008	1.0193
B05374	A048044001	0.9896
B05377	A048044011	0.9779
B05370	A048044003	0.9466
B05366	A048044002	0.9446
B05368	A048044012	0.9065
B05367	A048044005	0.8897
B05375	A048044006	0.8855
B05376	A048044004	0.8854
B05373	A048044007	0.8831
B05372	A048044009	0.8549
B05371	A048044010	0.8347
B09734	A047324002	1.1907
B09730	A047324020	1.0689
B09737	A047324005	1.0685
B09745	A047324019	0.9459
B09742	A047324016	0.9295
B09746	A047324022	0.9246
B09726	A047324007	0.9189
B09743	A047324018	0.9187
B09740	A047324021	0.9164
B09739	A047324015	0.9128
B09741	A047324017/047246004	0.9099
B09731	A047324006	0.9066
B09736	A047324014	0.9008
B09744	A047324003	0.8987
B09735	A047324013	0.8981
B09748	A047324011	0.8958
B09747	A047324001	0.8951
B09727	A047324009	0.8929
B09729	A047324024	0.8914
B09788	A047324012	0.8885
B09733	A047324025	0.8883
B09732	A047324023	0.8865
B09738	A047324008	0.8843
B09728	A047324010	0.8495
B09725	A047324004	0.8158
B09670	A047245004/01	1.0707
B09665	A047245005/01	0.9384
B09672	A047245011	0.9333
B09666	A047245004/02	0.9254
B09673	A047245007	0.9204
B09676	A047245009	0.9195
B09679	A047245005/02	0.9142
B09704	A047245003	0.8165
B09706	A047245001	0.7985
B09705	A047245002/02	0.7931
B09674	A047245002/01	0.9031
B09671	A047245008	0.9001
B09677	A047245010/01	0.9001
B09668	A047245014	0.896
B09669	A047245006	0.8956
B09678	A047245010/02	0.8904
B09675	A047245012	0.853
B09667	A047245013	0.8508
B09762	A047246006	1.3432
B09756	A047246002	1.0693
B09761	A047246012	1.0332
B09752	A047246010	0.9427
B09759	A047246003	0.9377
B09757	A047246011	0.9364
B09755	A047246008	0.9362
B09760	A047246009	0.9267
B09758	A047246007	0.9226
B09754	A047246001	0.9049
B09751	A047246004	0.894
B09753	A047246005	0.8919
B17521	A047247001	0.8595
B17520	A047247002	0.8526
B05206	A048045002	0.9458
B05205	A048045004	0.931
B05204	A048045001	0.9236
B05207	A048045003	0.8757
B17408	A047248001	0.8152
B16347	A047249002	0.8185
B17739	A047249001	0.806
B13038	A047250005/02	0.8237
B11038	A047250005/01	0.8098
B13034	A047250006	0.8454
B14973	A047250007	0.8428
B13037	A047250010	0.84
B11039	A047250002	0.7972
B11041	A047250003	0.7929
B13035	A047250008	0.8042
B11040	A047250004	0.7458
B13036	A047250009	0.7894
B11783	A047250001	0.6263
B06496	A048046002	1.6083
B06522	A048046005	1.6011
B06700	A048046010	1.5736
B06704	A048046008	1.4804
B06708	A048046004	1.4804
B06497	A048046003	1.4796
B06703	A048046009	1.4408
B06701	A048046011	1.4005
B06524	A048046007	1.3557
B06507	A048046012	1.2947
B06523	A048046006	1.0788
B06511	A048046013	1.0433
B06707	A048046001	0.9681
B17463	A047251001	0.8539
B16310	A047251002	0.868
B16433	A047252001	0.8829
B17687	A047252002	0.8781
B13173	A047253018	0.8831
B13182	A047253002/01	0.8716
B13278	A047253001	0.8499
B13179	A047253002/02	0.8683
B13277	A047253026	0.8439
B13176	A047253004	0.8648
B13169	A047253017	0.8641
B13184	A047253019	0.857
B13171	A047253027	0.8544
B13280	A047253015	0.853
B13279	A047253013	0.8147
B13276	A047253003	0.809
B13175	A047253020	0.8457
B13170	A047253008	0.8456
B13167	A047253007	0.8412
B13177	A047253016	0.84
B13183	A047253011	0.8363
B13187	A047253006	0.8244
B13172	A047253022	0.8225
B13174	A047253012	0.7959
B13178	A047253021	0.7945
B13180	A047253005	0.793
B13168	A047253028	0.7912
B13181	A047253010	0.7804
B13186	A047253024	0.7788
B13185	A047253023	0.7774
B13166	A047253009	0.7294
B13281	A047253014	0.7292
B13188	A047253025	0.6541
B13054	A047254004	1.0192
B13052	A047254013	0.9842
B13057	A047254007	0.896
B13047	A047254012	0.8945
B13046	A047254002	0.8941
B13043	A047254006	0.8813
B13049	A047254009	0.8655
B13050	A047254016	0.8617
B13058	A047254008	0.8606
B13051	A047254010	0.8601
B13059	A047254003	0.8597
B13045	A047254014	0.8583
B13048	A047254005	0.8556
B13044	A047254015	0.8476
B13053	A047254017	0.8448
B13055	A047254001	0.8441
B13056	A047254011	0.7644
B17516	A047255001	0.8861
B08612	A047256002	0.8803
B07951	A047256001	0.8627
B07950	A047256003	0.8591
B15313	A047257001	0.8745
B15312	A047257002	0.8218
B09724	A047258009	1.2257
B09693	A047258015	1.1009
B09686	A047258007	0.9795
B09692	A047258004	0.9741
B09685	A047258005	0.9706
B09684	A047258022	0.9703
B09688	A047258006	0.97
B09687	A047258008	0.9622
B09689	A047258018	0.9581
B09694	A047258013	0.958
B09683	A047258010	0.9487
B10566	A047258003	0.9472
B09690	A047258012	0.9437
B09691	A047258011	0.9416
B09722	A047258021/047258014	0.8987
B09721	A047258001	0.8669
B09717	A047258002	0.8297
B09718	A047258020	0.8315
B09719	A047258017	0.8712
B09720	A047258016	0.8414
B09723	A047258019	0.9172
B09646	A047259003	0.8605
B09626	A047259002	0.8157
B09645	A047259001	0.818
B05833	A047260003/047260004	0.8756
B05888	A047260002	0.8036
B05887	A047260001	0.8114
B05755	A047261004	0.846
B05756	A047261002/02	0.8392
B05812	A047261001	0.7708
B07331	A047261003	0.7794
B05813	A047261002/01	0.7602
B05875	A047271005	1.022
B05903	A047271001	0.8847
B05869	A047271013	0.8833
B05862	A047271011	0.8792
B05864	A047271002	0.8698
B05905	A047271020	0.8658
B05867	A047271008	0.8638
B05861	A047271009	0.8583
B05859	A047271016	0.8499
B05902	A047271018	0.8436
B05874	A047271014	0.8433
B05870	A047271004	0.8412
B05872	A047271006	0.8399
B05904	A047271019	0.8384
B05866	A047271010	0.8262
B05873	A047271012	0.8254
B05868	A047271007	0.824
B05860	A047271017	0.8237
B05863	A047271003	0.8117
B05865	A047271021	0.7965
B05871	A047271015	0.7924
B06693	A048047003	1.0106
B06705	A048047004	0.9866
B06706	A048047002	0.9667
B06512	A048047007	0.9647
B06702	A048047001	0.9562
B06722	A048047006	0.8933
B06513	A048047005	0.8564
B06517	A048047009	0.839
B06723	A048047008	0.8028
B05018	A048048008	1.289
B05016	A048048010	1.1866
B05014	A048048003	1.1409
B05012	A048048009	1.0456
B05011	A048048004	1.0296
B05019	A048048002	1.019
B05015	A048048007	1.0091
B05013	A048048005	0.9732
B05017	A048048001	0.9593
B05010	A048048006	0.9414
B16386	A047262003	0.8516
B17678	A047262002	0.8685
B17673	A047262001	0.8114
B10943	A047263001	0.8686
B10964	A047263003	0.8397
B10942	A047263005	0.7134
B10962	A047263004	0.7952
B10963	A047263002	0.8183
B10961	A047263006	0.8088
B17736	A047264001	0.8235
B16198	A047264002	0.7964
B13073	A047265001	0.8584
B13115	A047265004	0.8443
B13114	A047265003	0.8733
B13113	A047265005/047265006/047265007/047265008	0.8398
B13112	A047265002	0.8582
B16353	A047266001	0.8514
B07969	A047267002	0.9026
B07970	A047267008/047267007	0.8726
B07971	A047267005/02	0.8855
B07968	A047267005/01	0.8329
B07983	A047267006/047267004	0.8653
B07982	A047267001/047267003	0.8406
B18645	A047268002	0.8687
B18644	A047268001	0.8452
B07933	A047268003/01	0.814
B08616	A047268003/02	0.836
B17554	A047269001	0.7363
B05879	A047270004	0.7923
B05881	A047270002	0.7668
B05880	A047270001	0.7547
B05882	A047270003	0.7506
B05185	A047270008	0.844
B05183	A047270005	0.8391
B05186	A047270007/02	0.8194
B05184	A047270006	0.7845
B05182	A047270009	0.7834
B05181	A047270007/01	0.6229
B05125	A048049002	1.051
B05126	A048049003	1.0223
B05127	A048049001	0.9909
B05222	A048050004	1.189
B05220	A048050003	1.0967
B05223	A048050006	1.0957
B05226	A048050001	1.0926
B05225	A048050002	1.0803
B05221	A048050005	1.0613
B05224	A048050007	1.0002
B17484	A047272001	0.8291
B17672	A047272002	0.8279
B17536	A047273001	0.8183
B16399	A047273002	0.8284
B17538	A047273003	0.7875
B16333	A047274001	0.8502
B17526	A047274003/047274004	0.8371
B16334	A047274002	0.7794
B16200	A047275003	0.8563
B16206	A047275001	0.7807
B16205	A047275002	0.7951
B18633	A047276002	0.8369
B14725	A047276001	0.8159
B05479	A047277008	1.2738
B05487	A047277019	1.0696
B05491	A047277021	1.0681
B05480	A047277022	1.0622
B05482	A047277020	1.0357
B05490	A047277023	1.0314
B05475	A047277011	1.0128
B05477	A047277015	0.9905
B15305	A047277010/02	0.8086
B05474	A047277014	0.9823
B05476	A047277002	0.9745
B07327	A047277009	0.9731
B05484	A047277026	0.9614
B05485	A047277005	0.9613
B05499	A047277010/01	0.9599
B05473	A047277016	0.9542
B05481	A047277006	0.9541
B05493	A047277018	0.9531
B05478	A047277013	0.9493
B05497	A047277017	0.9482
B05488	A047277024	0.9451
B05486	A047277007	0.9445
B05489	A047277012	0.9358
B05496	A047277027	0.935
B05495	A047277004	0.8923
B05498	A047277001	0.8877
B05494	A047277028	0.8705
B05492	A047277003	0.8586
B05483	A047277025	0.7252
B13265	A047278006	0.8869
B13260	A047278005	0.8739
B13262	A047278003	0.8684
B13263	A047278004	0.8555
B13261	A047278008	0.8464
B13264	A047278007	0.8535
B13266	A047278001	0.8578
B13333	A047278002	0.7992
B13259	A047278009	0.8025
B13147	A047090007	1.4015
B13145	A047090003	1.3675
B13146	A047090002	1.1656
B13143	A047090018	1.0733
B13151	A047090005	0.9733
B13139	A047090006	0.971
B13141	A047090011	0.9693
B13142	A047090010	0.9648
B13148	A047090012	0.9641
B15005	A047090001	0.9623
B13137	A047090017	0.9616
B13149	A047090008	0.9575
B13144	A047090004	0.9551
B13267	A047090013/01	0.8163
B13268	A047090013/02/047090014	0.8396
B13138	A047090009	0.9388
B13140	A047090015	0.9385
B13150	A047090016	0.8281
B05421	A047279010	1.0604
B05584	A047279002	0.8309
B05412	A047279007	0.9549
B05416	A047279013	0.9481
B05417	A047279009	0.9318
B18875	A047279001	0.7847
B05410	A047279004	0.9221
B05420	A047279005	0.9086
B05411	A047279011	0.9065
B16428	A047279014	0.7691
B05419	A047279008	0.8807
B05415	A047279012	0.88
B05413	A047279003	0.8381
B05414	A047279015	0.8352
B05418	A047279006	0.7902
B05409	A047279016	0.7233
B16325	A047280001	0.8315
B17533	A047280002	0.8383
B16436	A047281002	0.8682
B16437	A047281001	0.8309
B13314	A047282002/02	0.8305
B13223	A047282004/047126005	0.8839
B13224	A047282003	0.8305
B13222	A047282002/01	0.7701
B13225	A047282005/047282006	0.8392
B13313	A047282001	0.7941
B17518	A047283001	0.7881
B05765	A047284001	0.7886
B05764	A047284002	0.8069
B05818	A047284004	0.8299
B05817	A047284003	0.8025
B17644	A047285001	0.9179
B16308	A047286002	0.8603
B16303	A047286001	0.8778
B15327	A047287001	0.8913
B15328	A047287002/047287003	0.8688
B05392	A048051002	1.5499
B05383	A048051005	1.3893
B05382	A048051006	1.2152
B05393	A048051001	1.0784
B05385	A048051007/01	1.066
B05391	A048051003	1.0619
B05388	A048051004	1.0384
B05394	A048051012	1.0277
B05390	A048051011	1.0079
B05396	A048051007/02	1.0023
B05387	A048051008	0.9868
B05384	A048051009	0.9715
B05389	A048051010	0.9662
B05386	A048051013	0.8042
B05395	A048051014	0.7708
B14951	A047288002	0.9071
B14724	A047288003	0.8726
B14737	A047288001	0.8501
B05601	A048052001	1.128
B05597	A048052006	0.9556
B05600	A048052002	0.9816
B05596	A048052004	1.0169
B05599	A048052007	0.8796
B05598	A048052005	0.9627
B05603	A048052008	0.8067
B05604	A048052009	0.8308
B05602	A048052003	0.8435
B05595	A048052010	0.8504
B07050	A048053002	1.134
B06690	A048053001	1.1777
B06686	A048053003	0.9972
B06529	A048053006	0.9127
B07088	A048053004	0.9321
B06685	A048053007	0.9329
B07084	A048053005	0.8404
B15277	A047289001	0.9099
B15278	A047289002	0.8579
B16327	A047290002	0.8821
B16329	A047290001	0.8245
B15326	A047291001	0.8562
B15325	A047291002	0.8298
B17581	A047292001	0.8594
B15284	A047293005	0.8827
B15283	A047293006	0.8448
B15287	A047293002	0.8753
B15286	A047293001	0.8478
B15285	A047293003	0.8341
B15282	A047293004	0.8404
B13065	A047294011	0.9648
B13068	A047294002	0.96
B13069	A047294004	0.9569
B13072	A047294008/01	0.9525
B13066	A047294010	0.9501
B13067	A047294009	0.9494
B13063	A047294012	0.9453
B13064	A047294003	0.9423
B13071	A047294005	0.9358
B13062	A047294008/02	0.9316
B13107	A047294006	0.8645
B13060	A047294001	0.9222
B13061	A047294007	0.9217
B13070	A047294013	0.9112
B13084	A047295003/047295004	0.878
B13083	A047295006	0.8552
B13085	A047295005/047295002	0.8627
B13127	A047295001/047295009	0.8322
B13128	A047295007/047295008	0.8522
B13110	A047296003/01	0.8759
B13111	A047296003/02	0.825
B13109	A047296001	0.8129
B13108	A047296002	0.8329
B05423	A048054002	0.9257
B05426	A048054006	0.9238
B05427	A048054007	0.8733
B05431	A048054011	0.8183
B05422	A048054004	0.8459
B05424	A048054001	0.8215
B05430	A048054009	0.9268
B05425	A048054003	0.7901
B05429	A048054005	0.7994
B05432	A048054010	0.875
B05428	A048054008	0.8416
B06691	A048055004	0.98
B06689	A048055005	0.9797
B06729	A048055002	0.9595
B06720	A048055003	0.9711
B06719	A048055001	0.8789
B16358	A047297001	0.9064
B17544	A047297002	0.8476
B05701	A047298007	1.084
B05700	A047298006	1.0238
B05702	A047298013	1.0055
B05699	A047298014	1.0106
B05698	A047298012	0.9777
B05697	A047298008	0.9541
B05696	A047298011	0.9366
B05695	A047298010	1.3754
B05689	A047298015	1.3752
B05688	A047298016	1.0761
B05693	A047298001	1.0279
B05687	A047298009	0.9772
B05692	A047298003	0.971
B05690	A047298002/03	0.8392
